"¿A quién era atribuido ""El coloso""?";Francisco de Goya;Pablo Picasso;José Domínguez Bécquer;Federico Madrazo
¿A qué estilo pertenecen San Salvador de Valdediós y San Miguel de Lillo?;Prerrománico;Románico;Gótico;Islámico
¿En qué destacó Filippo Brunelleschi?;Arquitectura;Pintura;Música;Escritura
Autor de: El rapto de Proserpina;Petrus Paulus Rubens;Andre Derain;Goya;Pieter Brueguel
Autor de: El sueño de Jacob.;Josep de Ribera;Petrus Paulus Rubens;Goya;Pieter Brueguel
Autor de: El teatro de máscaras.;James Ensor;Petrus Paulus Rubens;Goya;Pieter Brueguel
Autor de: Tres mendigos.;Giacomo Ceruti;Goya;Lucio Fontana;Tiziano
(El Señor de los Anillos) ¿Cuál fue el último cumpleaños que celebró Bilbo Bolsón en Bolsón Cerrado?;Centesimodecimoprimero;Centesimodecimosegundorimero;Centesimodecimotercero;Centesimodecimocuarto
"(Siglo XIV) Autor: ""África"", poema épico sobre Escipión (Escrita en latín)";Petrarca;Giovanni Boccaccio;Alfonso IV;Aguilar
"¿A qué edad escribió Carmen Laforet ""Nada""?";23;58;63;74
¿A qué edad murió el poeta gaditano Rafael Alberti?;96;45;50;47
¿A qué época pertenece la literatura de la escolástica?;Baja Edad Media;Griega;Romana;Egipcia
¿A qué generación literaria perteneció Valle-Inclán?;Del 98;Del 27;Del 52;Del 36
¿A qué movimiento literario pertenece Góngora?;Barroco;Romanticismo;Impresionismo;Ilustrismo
¿A qué movimiento literario pertenece Quevedo?;Barroco;Romanticismo;Impresionismo;Ilustrismo
