Conjunto de polvo, gas y estrellas de miles de parsecs de diámetro;Galaxia;Sistema solar;Cinturón de asteroides;Nebulosa
Derivada de 100;0;x;10;-1
Filósofo griego fundador de la filosofía científica;Aristóteles;Platón;Kant;Sócrates
Inventor del pararrayos;Benjamin Franklin;Isaac Newton;Albert Einstein;Nikola Tesla
Número siguiente a la sucesión: 1-1-2-3-5-8-13;21;13;14;16
¿En qué mes se produce el equinoccio de primavera?;Marzo;Abril;Mayo;Diciembre
¿Qué planeta del Sistema Solar es el cuarto más cercano al Sol?;Marte;La Tierra;Júpiter;Mercurio
¿Qué fenómeno atmosférico es el que se produce más frecuentemente en la Luna?;Ninguno;Viento;Lluvia;Colisión de meteoritos
 Un circuito boost es un...;Elevador;Microondas;Rampa;Resistencia
En la elección de muestras, ¿a qué se le llama N;Total Poblacional;El conjunto activo;La moda;Ninguna de las otras
Acabado que se da a los papeles brillantes secándolos en contacto con una superficie cromada muy pulida y por lo general caliente.;Esmaltado;Alumbrado;Abrillantado;Coso
¿A cuántos años-luz equivalen un parsec?;3,26;5;8,2;91
¿A cuántos grados centígrados está el núcleo del Sol?;40000000;2000;50005;8888878
¿A cuántos grados Kelvin corresponden 0 grados centigrados?;273;372;384;33
¿A cuántos metros del suelo debe situarse una gárita meteorológica para que puedan ser homologadas sus mediciones?;1,5;5;25;3,3
"¿Quién dijo ""se puede aprender mucho de la Tierra mirándola desde el espacio""?";Carl Sagan;Stephen Hawking;Neil Amstrong;Buzz Aldrin
