¿Quién ganó el trofeo Zamora en la temporada 1986/87?;Andoni Zubizarreta;Juan Carlos Ablanedo;Paco Buyo;Abel Resino
¿A qué jugador del Madrid partió por la mitad Romario con su regate de cola de vaca?;Rafael Alkorta;Sergio Ramos;Fernando Hierro;Mikel Goikoetxea
¿A qué ciclista español le llamaron El Extraterrestre?;Miguel Indurain;Eddy Mercks;Alberto contador;Bernard Hinault
¿A qué ciudad se marchó Ronaldo tras dejar el Barcelona?;Milan;Paris;Portugal;Francia
¿A qué corresponden las siglas ATP?;Asociacion Tenistas Profesionales;Asociacion Tenistas Paralímpicos;Asociacion de tangas pequeños;Asociación de triatletas profesionales
¿A qué deporte jugaban en el Mar Valencia cuando se nacionalizaron Vera Samoilova y Natalia Morskova?;Balonmano;Tenis;Futbol;Hockey
¿A qué equipo de rugby se les llama los Springboks?;Sudáfrica;Reino Unido;Australia;Alemania
"¿A qué equipo del fútbol argentino lo llaman ""Cuervos""?";Club Atletico San Lorenzo de almagro;Club Atlético Boca Juniors;Club Atlético River Plate;Club Atlético Independiente
"¿A qué equipo del fútbol argentino lo llaman ""El Fortin""?";Club Atletico Velez Sarsfield;Club Atletico San Lorenzo de almagro;Club Atlético Boca Juniors;Club Atlético River Plate
¿A qué equipo francés se marcharon Arteta y De Lucas?;Paris Saint Germain;Paris FC?;RCF Paris;Gallia Club Paris
¿A qué equipo marchó Paulo Futre después del Atlético de Madrid?;Benfica;Fútbol Club Barcelona;Madrid;Paris Saint Germain
¿A qué equipo metió Ronaldo su primer gol después de su desafortunada lesión (Temp. 2001/02)?;Brescia;Fútbol Club Barcelona;Madrid;Club Atletico San Lorenzo de almagro
"¿A qué herramienta sustituyó la ""shistera"" en algunos juegos de pelota?";Guante;Carrito;Escoba;Trapo
¿A qué llamaban gambeteo los futbolistas argentinos?;Regate;Caño;Bicicleta;Gol
¿A qué otro deporte es aficionado Michael Jordan?;Golf;Futbol americano;VolleyBall;Natación
