¿Cómo se llama la película dirigida por Kubrick ambientada en la I Guerra Mundial?;Senderos de gloria;La gran ilusion;El sargento York;Capitán Conan
¿Cómo se llama la primera película de Harry Potter?;Harry Potter y la priedra filosofal;Harry Potter;Harry Potter y la cámara secreta;Harry Potter y el cáliz de fuego
"¿En qué película Julia Roberts ejerce la profesión ""más antigua del mundo""?";Pretty Woman;Secret in their eyes;Nothing Hill;Come, reza, ama
Completa el nombre: Polanski y...;El ardor;La broma;La ilusión;El reto
Ian McCulloch fue vocalista de…;Echo and The Bunnymen;Riot Die;Guns and Roses;Black Violets
¿A qué grupo pertenecía Nacho Goberna?;La dama se esconde;Uno más;El perro que ladra;Viento gris
¿A qué cantante acompañaban Los Trogloditas?;Loquillo;Fito;Manuel Carrasco;Camarón
"¿A qué cantante le llamaron ""la voz de la generación X""?";Kurt Cobain;Elvis;Lady Gaga;Madonna
¿A qué ciudad española dedicó Joaquín Rodrigo su famoso concierto?;Aranjuez;Sevilla;Toledo;Palma de Mallorca
¿A qué compositor está dedicada la Marcha Fúnebre inserta en el segundo movimiento de la Sinfonía nº 7 de Anton Bruckner (1883), fallecido mientras este la componía?;Richard Wagner;Johann Sebastian Bach;Ludwig van Beethoven;Wolfgang Amadeus Mozart
A qué corresponden las iniciales B. B. de B. B. King?;Blues Boy;Blue Baby;Baby Baby;Blue Boy
¿A qué edad comenzó con la música Stevie Wonder?;10;15;21;5
¿A qué edad falleció Bob Marley?;36;23;58;75
¿A qué edad falleció Elvis Presley?;42;35;28;55
¿A qué grado de la escala nos referimos si hablamos de una dominante?;Quinto;Cuarto;Segundo;Primero
"¿A qué grupo asociarías ""Quadrophenia""?";The Who;Nirvana;Queen;Guns and Roses
