¿A dónde fueron deportados los judíos tras la conquista de Jerusalén por Nabucodonosor?;Babilonia;Asiria;Egipto;Mesopotamia
¿A dónde se traslada la Casa de la Contratación en 1717 desde Sevilla?;Cádiz;Málaga;Almería;Badajoz
¿A qué ciudad actual corresponde la romana Gades?;Cádiz;Málaga;Sevilla;Segovia
¿Qué faraón murió en el año 1325 a.C.?;Tutankamon;Cleopatra;Ramses II;Nefertiti
¿A favor de qué pretendiente a la corona se puso la nobleza española durante la guerra de Sucesión?;Archiduque Carlos;Alfonso X;Victor IV;Carlos II
¿A la muerte de qué emperador el archiduque Carlos heredó el trono de Austria;Jose I;Calos II;Vistor IV;Carlos V
¿A principios de qué siglo tuvo lugar el reinado de Nabucodonosor II?;VI A.C;II A.C;II D.C;VI D.C
¿A qué bando se unió Asturias cuando se produjo el levantamiento con el que comienza la Guerra Civil?;Republicano;Pistoleros;Fascista;Neutro
A qué ciudad actual corresponde la antigua Mainake (griega)?;Málaga;Sevilla;Ceuta;Mallorca
¿A qué ciudad actual corresponde la romana Gades?;Cádiz;Madrid;Bilbao;Melilla
¿A qué cultura pertenece el yacimiento de Toscanos?;Fenicia;Griega;Romana;Ibérica
¿A qué dinastía pertenece la esfinge de Gizeh?;IV;II;I;V
¿A qué dinastía perteneció Isabel I de Inglaterra?;Tudor;Vulturi ;Costas;Felas
