¿Qué le gusta a Miko?;Montones de comida;Montones de juguetes;Montones de deportes;Montones de árboles
¿Cuántos años cumple la Princesa cuando el Hada Buena prepara su fiesta de cumpleaños?;16;17;18;20
¿A qué enanito le obligan a lavarse las manos antes de comer?;A Gruñón;A Mudito;A Sabiondo;A dormilón
¿Quién salva a Peter Pan de la bomba del Capitán Garfio?;Campanilla;Wendy;Los Niños Perdidos;John Darling
¿Qué clase de animal es la mascota de Yasmín, Rajá?;Un tigre;Un león;Un elefante;Un mapache
¿Quién intenta rescatar a Buzz del juego de la grúa?;Woody;Slinky;Betty;Rex
¿Por quién se cambia Bella como prisionera en el castillo de Bestia?;Por su padre;Por Gastón;Por Maurice;Por Babette
¿Qué lleva puesto Hércules para que Afrodita crea que puede ser un dios?;Un medallón;Un halo;Una corona;Un bastón
¿Dónde escribe Mulán algunas notas de su visita a la casamentera?;En su brazo;En un papel;En una piedra;En arcilla
¿Qué tiene Hades en lugar de pelo?;Llamas;Agua;Nubel;Arcoiris
¿Qué objeto perteneciente a Penny fue encontrado en la tienda de Madame Medusa?;Un libro;Un osito de peluche;Una cinta de pelo;Un collar
¿Qué intenta robar Aby, y casi provoca que él y Aladdín queden atrapados en la cueva?;Una gema;Una lámpara;Una alfombra;Un collar
¿En qué criatura del mar se convierte Merlín cuando Madam Mim se transforma en una serpiente?;En un cangrejo;En un pez;En un perro;En un gallo
¿De qué cosa tiene miedo Khan?;Del fuego;De los bichos;De los humanos;De las serpientes
¿Quién tiene un ama de llaves llamada Carlotta?;El Rey Tritón;Úrsula;El Príncipe Eric;Ariel
