¿Cuál es el nombre del pájaro amigo de Pocahontas?;Flit;Flirt;Fast;Flot
¿Qué cambia constantemente de color a medida que el Principe y la Princesa bailan al final de la película?;El vestido de la Bella Durmiente;La corona de la Bella Durmiente;Los zapatos de la Bella Durmiente;La piel de la Bella Durmiente
"¿A qué considera Cruela de Vil su ""único y verdadero amor""?";A los abrigos de piel;A los cachorros;A Pongo;A Nanny
¿Cuál es el único de los 7 enanitos que no tiene barba?;Mudito;Gruñón;Dormilón;Sabiondo
¿A quién castiga Peter Pan por ser malvada?;A Campanilla;A Wendy;A los piratas;A los Niños Perdidos
Según Buzz Lightyear, ¿quiénes están intentando contactar con él?;El Comando Espacial;Los Cadetes Espaciales;Los Millennium Bugs;Los Antiguos Astronautas
¿Cómo se llama el padre de Bella?;Maurice;Horacio;Boris;Gastón
¿A quién hace tropezar el Gato de los Deseos mientras esta haciendo trampas jugando al croquet?;A la Reina;A Alicia;A Diana;A la oruga
¿De qué raza son los gatos que tía Sara lleva con ella?;Siameses;Persas;Bengala;Esfinge
¿Qué clase de animal es Tantor?;Un elefante;Un perro;Un ratón;Un gato
¿Cómo se aparece el dios Zeus en la tierra?;Como una estatua;Como un animal;Con un humano;Ninguna de las otras
¿Qué animales celebran sus reuniones en la Roca del Consejo?;Lobos;Tigres;Monos;Perros
¿A quién pertenece la voz que roba Úrsula?;A Ariel;A Sebastián;Al príncipe Eric;Al rey Trintón
¿En casa de quién entra Grullo para escapar del halcón?;De Madam Mim;De Merlín;De Sir Ector;Del Rey Arturo
¿Cuál es el animal cuya forma tiene el trono del Sultán?;De elefante;De pájaro;De ratón;De león
