En Pocahontas, ¿qué clase de animal es Miko?;Un mapache;Un oso;Un conejo;Un perro
¿Cómo se llama el Principe de la Bella Durmiente?;Felipe;Carlos;Andrés;Juan
¿Cómo se llama el enanito que usa gafas?;Sabio;Mudito;Gruñón;Dormilón
¿Cómo se llama la luminosa amiga de Peter Pan?;Campanilla;Wendy;John;Michael
¿Qué canción cantan Aladdín y Yasmín sobre la alfombra mágica?;Un mundo ideal;Una alfombra idea;Un genio genial;El bazar
¿Qué celebra Andy cuando le regalan a Buzz?;Su cumpleaños;La Navidad;Los reyes magos;Su santo
Según Gastón, ¿qué debe hacer Bella para liberar a su padre?;Casarse con él;Matar a la Bestia;Darle su herencia;Ninguna de las otras
¿Cuál es la última parte en desaparecer de todo el cuerpo de El Gato de los Deseos?;La sonrisa;Los ojos;Las patas;La cabeza
¿Cuántos cachorros tienen Dama y Vagabundo?;Cuatro;Dos;Seis;Tres
¿A quién lleva Timoteo a ver a Dumbo cuando necesita cariño?;A su madre;A su padre;A los payasos;Ninguna de las otras
¿Quél personaje llega al palacio del Sultán montado en un elefante?;Aladdín;El genio;Abu;Yasmín
¿Dónde se encuentra Grillo por primera vez con Merlín?;En el bosque;En la playa;En una cueva;En una casa
¿Qué es Shere Khan?;Un tigre;Un león;Un oso;Una serpiente
¿De qué color es la pluma de Dumbo?;Negra;Blanca;Azul;Roja
"¿A quién llama Bagheera ""holgazán de la selva""?";A Baloo;A Mowgli;A Kaa;A Shere Khan
